,City,Cloudiness,Humidity,Latitude,Temperature,Windspeed
0,Qaanaaq,24,88,77.48,-14.98,4.29
1,East London,40,78,-33.02,71.6,16.11
2,Sinnamary,76,94,5.38,79.93,12.39
3,Klaksvik,92,100,62.23,32.0,16.11
4,Norman Wells,20,83,65.28,-7.61,3.36
5,Roros,75,100,62.57,21.2,9.17
6,Rikitea,32,100,-23.12,79.07,13.85
7,Jiazi,75,93,19.61,60.8,13.42
8,Ust-Maya,64,44,60.42,-6.75,3.78
9,Atuona,20,98,-9.8,82.22,20.56
10,Saint-Philippe,90,86,45.36,29.73,8.05
11,Clyde River,90,75,70.47,-18.41,9.17
12,Avarua,75,83,-21.21,80.6,6.93
13,Alice Springs,75,78,-23.7,75.2,14.99
14,Mataura,68,71,-46.19,59.9,12.28
15,Makakilo City,1,64,21.35,69.39,8.05
16,Beringovskiy,80,94,63.05,18.91,36.17
17,Bukama,8,92,-9.2,75.2,2.84
18,Pacific Grove,1,65,36.62,50.52,2.89
19,Punta Arenas,40,70,-53.16,46.4,19.46
20,Faanui,36,99,-16.48,82.49,12.8
21,Port Alfred,92,100,-33.59,68.86,14.29
22,Ushuaia,75,81,-54.81,42.8,9.17
23,Dikson,68,99,73.51,-5.58,23.91
24,Albany,90,87,42.65,30.61,8.05
25,Bluff,88,43,-23.58,86.18,17.72
26,Geraldton,90,92,49.72,19.4,8.05
27,Hobart,20,68,-42.88,66.2,16.11
28,Richards Bay,48,97,-28.77,73.09,4.07
29,Ancud,92,97,-41.87,61.21,6.31
30,Mar del Plata,64,59,-46.43,70.16,17.09
31,Cherskiy,0,69,68.75,-15.52,10.04
32,Puyang,0,46,35.76,46.09,11.83
33,Torbay,90,86,47.66,28.4,12.75
34,Puerto Escondido,0,100,15.86,80.78,7.76
35,Ponta Delgada,75,93,37.73,62.6,17.22
36,Port Lincoln,0,62,-34.72,79.34,13.35
37,Hithadhoo,80,100,-0.6,84.11,9.89
38,Maceio,0,94,-9.67,75.2,4.7
39,Ponta do Sol,80,98,-20.63,67.33,2.1
40,La Asuncion,68,96,-1.64,44.51,1.39
41,New Norfolk,20,68,-42.78,66.2,16.11
42,Sungaipenuh,36,89,-2.08,73.99,0.2
43,Tasiilaq,88,85,65.61,21.2,8.05
44,Tuatapere,36,100,-46.13,57.79,9.78
45,Aykhal,0,67,65.95,-5.62,4.52
46,Sheltozero,36,70,61.37,-1.48,9.66
47,Jamestown,12,69,-33.21,75.79,13.8
48,Vaini,0,32,15.34,89.69,3.62
49,Tarakan,20,78,3.3,87.94,2.62
50,Chanika,88,100,-12.93,71.11,4.85
51,Along,0,52,28.17,68.81,0.83
52,Saskylakh,0,37,71.97,-24.34,7.02
53,Ambulu,88,100,-8.35,80.83,7.65
54,Sitka,0,54,37.17,31.37,4.29
55,San Ramon,0,85,12.92,62.87,3.85
56,Kodiak,40,79,39.95,24.8,10.29
57,Guerrero Negro,8,82,27.97,55.31,7.36
58,Khatanga,0,60,71.98,-12.46,11.61
59,Naze,40,94,5.43,73.4,6.64
60,Yerbogachen,64,65,61.28,8.06,6.08
61,Lazaro Cardenas,0,50,28.39,50.36,5.64
62,Hilo,90,68,19.71,58.42,5.82
63,Banda Aceh,32,100,5.56,80.11,1.32
64,Aksu,0,72,52.04,14.0,20.13
65,Bredasdorp,100,98,-34.53,64.58,11.56
66,Puerto Ayora,56,100,-0.74,77.09,8.43
67,Arraial do Cabo,100,100,-22.97,75.65,2.51
68,Medeiros Neto,36,97,-17.37,73.76,4.85
69,Kavaratti,0,100,10.57,83.39,4.52
70,Busselton,8,75,-33.64,78.94,6.24
71,Lanzhou,0,24,36.06,48.2,6.71
72,Prince George,1,79,53.92,19.4,5.82
73,Hualmay,20,79,-11.1,66.43,3.85
74,Marana,90,28,32.44,60.82,8.05
75,Fortuna,90,87,38.18,50.0,1.12
76,Tuktoyaktuk,90,85,69.44,14.77,3.36
77,Kangaatsiaq,56,100,68.31,8.78,12.17
78,Comodoro Rivadavia,0,53,-45.87,75.2,12.75
79,Nagorsk,8,77,59.32,4.64,11.45
80,Husavik,48,59,50.56,1.67,3.06
81,Ribeira Grande,88,99,38.52,62.15,17.94
82,Kiunga,68,97,-6.12,75.02,2.39
83,Arcachon,76,100,44.65,36.66,1.12
84,Toktogul,0,89,41.87,32.18,2.39
85,Havre-Saint-Pierre,90,79,50.23,26.6,11.41
86,Abong Mbang,64,94,3.98,70.48,2.55
87,Palmer,0,45,-34.85,82.4,18.34
88,Kununurra,0,18,-15.77,100.4,5.82
89,Mantua,0,80,45.16,33.13,6.93
90,Buala,56,98,-8.15,82.36,2.1
91,Atar,0,61,20.52,57.29,3.22
92,Santa Maria,0,88,-29.69,62.6,4.7
93,Kieta,64,93,-6.22,83.12,2.55
94,San Andres,64,100,13.32,80.78,5.75
95,Tiksi,12,30,71.64,-20.83,5.64
96,Nikolskoye,0,78,59.7,10.4,8.95
97,Lima,20,83,-12.06,59.9,1.77
98,Natal,40,78,-5.81,80.6,3.36
99,Yellowknife,75,84,62.45,-0.41,3.33
100,Salalah,0,29,17.01,78.8,2.51
101,Sao Geraldo do Araguaia,0,97,-6.4,71.56,2.89
102,Cape Town,75,77,-33.93,62.6,5.82
103,Saint George,75,66,39.45,53.6,8.05
104,Omboue,68,100,-1.57,82.31,8.03
105,Kavieng,76,100,-2.57,82.76,9.89
106,Bethel,90,80,60.79,30.2,13.87
107,Mount Isa,90,100,-20.73,73.4,11.41
108,Butaritari,88,100,3.07,82.36,9.55
109,Nouadhibou,0,88,20.93,62.6,19.46
110,Nezhinka,0,66,51.77,10.4,11.18
111,Pontianak,76,97,-0.02,81.77,4.63
112,Santiago,0,82,-33.44,59.0,4.7
113,Pierre,1,92,44.37,8.6,2.55
114,Key Largo,1,72,25.09,62.6,8.05
115,Iqaluit,5,83,63.75,-7.61,8.05
116,Alta Floresta,32,93,-9.87,75.56,2.28
117,Talaya,56,79,55.79,10.54,17.83
118,Mitsamiouli,75,88,-11.38,82.4,5.82
119,Napasar,0,28,27.97,88.34,11.83
120,Itarema,80,94,-2.92,77.72,4.41
121,Bilibino,0,59,68.06,-3.01,3.11
122,Niquelandia,92,99,-14.47,68.99,3.29
123,Puchezh,0,80,56.98,6.31,11.68
124,Georgetown,40,94,6.8,75.2,4.7
125,Narsaq,0,40,60.91,14.0,4.7
126,Barrow,0,39,-38.31,63.5,10.94
127,Green River,1,42,41.53,30.2,3.0
128,Sebezh,92,88,56.29,20.71,14.41
129,Trairi,68,100,-3.28,79.16,7.25
130,Hermanus,44,92,-34.42,57.34,2.62
131,Carnarvon,0,87,-30.97,57.38,4.9
132,Deputatskiy,12,71,69.3,-17.14,3.74
133,Arkhangelskoye,76,90,54.46,19.94,13.96
134,Longyearbyen,0,59,78.22,3.2,12.75
135,Luderitz,0,92,-26.65,57.47,16.98
136,Cooma,0,65,-36.24,66.29,4.29
137,Moose Factory,90,92,51.26,23.0,4.7
138,Katsuura,90,93,33.93,48.18,5.82
139,Port Elizabeth,1,80,39.31,35.6,10.29
140,Nemuro,75,69,43.32,35.6,14.99
141,Novikovo,12,99,45.05,43.21,4.41
142,Oistins,100,100,13.07,78.31,19.17
143,Hami,0,46,42.84,57.29,3.22
144,Cidreira,0,92,-30.17,59.86,2.39
145,Saint-Augustin,0,93,44.83,36.23,8.05
146,Yulara,40,57,-25.24,80.6,25.28
147,Krapivinskiy,90,55,55.0,10.4,29.08
148,Castro,100,98,-42.48,59.36,5.3
149,Omsukchan,68,71,62.53,-12.01,9.33
150,Bumba,56,98,2.18,71.24,5.08
151,Trinidad,12,78,-33.52,52.07,4.07
152,Xai-Xai,0,96,-25.04,78.17,10.6
153,Caravelas,92,99,-17.73,81.95,14.58
154,Jizan,75,66,16.89,86.0,2.28
155,Aklavik,75,66,68.22,15.8,4.7
156,Gobabis,44,88,-22.45,68.0,2.24
157,Nenjiang,20,68,49.17,15.71,4.41
158,Srednekolymsk,32,68,67.46,-9.27,6.31
159,Te Anau,24,69,-45.41,58.55,4.29
160,Bereda,75,87,43.27,48.2,23.04
161,Kilindoni,68,100,-7.91,80.96,14.85
162,Erenhot,0,23,43.65,44.74,18.84
163,Krasnoshchekovo,68,76,51.67,17.51,15.19
164,Wronki,90,96,52.71,33.8,4.7
165,Ust-Nera,0,69,64.57,-12.1,2.62
166,Mehamn,0,65,71.03,12.0,14.99
167,Meulaboh,24,100,4.14,82.4,3.4
168,Matay,0,30,28.42,74.84,13.35
169,Rawson,0,49,-43.3,63.73,7.36
170,Mayo,20,65,63.59,8.6,10.29
171,Brae,40,86,60.4,41.0,14.99
172,Pimentel,0,96,-3.7,73.94,2.39
173,Lompoc,1,81,34.64,47.91,3.0
174,Iracoubo,92,74,5.48,78.71,6.02
175,Kalmar,90,96,56.66,32.0,8.05
176,Qixia,0,50,37.31,34.93,19.33
177,Kiama,40,53,-34.67,71.6,11.41
178,Komsomolskiy,0,74,67.55,13.33,9.89
179,Chokurdakh,20,31,70.62,-21.01,5.41
180,Nanortalik,0,100,60.14,18.05,4.0
181,Terme,75,81,41.21,53.6,11.68
182,Bambous Virieux,75,74,-20.34,82.4,6.93
183,Esperance,20,83,10.24,77.0,5.82
184,Arkhangelsk,32,84,64.54,-0.41,2.24
185,Cavalcante,88,99,-13.79,66.79,3.22
186,Thompson,20,84,55.74,3.2,3.36
187,Upernavik,44,100,72.79,-1.84,18.1
188,Coahuayana,20,83,18.62,60.31,2.33
189,Kapaa,90,88,22.08,66.2,21.92
190,Lamu,76,79,0.57,82.49,1.21
191,Los Llanos de Aridane,8,77,28.66,64.4,3.36
192,Xining,0,26,36.62,42.8,4.07
193,Aksehir,0,64,38.36,50.36,7.81
194,Benghazi,20,95,32.12,63.86,12.12
195,Chuy,0,96,-33.69,55.76,3.62
196,Inirida,76,95,3.87,73.67,2.21
197,Pathein,0,46,16.78,95.63,7.58
198,Andros Town,75,94,24.73,71.6,7.92
199,Turkmenabat,75,71,39.09,57.2,2.24
200,Saldanha,92,100,41.42,40.46,3.0
201,Hirara,75,88,24.8,63.52,17.22
202,Adrar,0,36,27.87,60.8,8.05
203,Alofi,92,74,-19.06,84.2,9.17
204,Ketchikan,1,80,55.34,30.18,3.85
205,Labuhan,64,75,-2.54,83.44,3.0
206,San Patricio,0,69,-26.98,66.02,4.74
207,Longjiang,0,85,47.33,15.58,4.56
208,Kruisfontein,32,97,-34.0,66.34,13.58
209,Itaituba,24,96,-4.26,75.2,2.1
210,Chimbote,12,91,-9.08,65.44,2.33
211,Solikamsk,76,74,59.65,11.75,16.6
212,Victoria,75,83,5.28,86.02,4.7
213,San Roque,0,100,0.3,41.27,2.1
214,Yibin,92,51,28.77,63.19,3.78
215,Gornopravdinsk,64,68,60.06,13.82,9.93
216,Flinders,40,53,-34.58,71.6,11.41
217,Saiha,0,31,22.49,83.08,2.21
218,Goma,24,100,-1.67,62.33,3.78
219,Mount Gambier,0,37,-37.83,84.92,2.1
220,Izazi,68,100,-7.24,67.73,2.77
221,Sarangani,12,94,5.4,84.83,1.5
222,Pevek,56,100,69.7,-13.09,14.58
223,Bonavista,0,84,48.65,24.76,15.3
224,Egvekinot,68,72,66.32,-3.55,13.96
225,Lebu,0,68,8.96,58.24,3.89
226,Dingle,0,56,11.0,87.89,14.29
227,Umm Lajj,0,57,25.02,78.17,5.57
228,Saint-Pierre,90,93,48.95,38.39,17.22
229,Kita,75,100,35.76,44.6,9.17
230,Ostersund,75,92,63.18,21.2,13.87
231,Igarka,92,86,67.47,15.26,20.18
232,Abu Samrah,76,68,35.3,55.18,4.79
233,Cao Bang,12,85,22.67,55.04,11.39
234,Bintulu,75,79,3.17,86.0,8.05
235,Mogadishu,20,83,2.04,80.6,9.17
236,Codrington,92,75,-28.95,69.8,9.1
237,Gizo,0,33,31.8,77.99,6.93
238,Vanavara,68,63,60.35,13.01,5.53
239,Naryan-Mar,88,82,67.67,9.77,20.07
240,Tecoanapa,5,88,16.99,75.2,3.36
241,Bubaque,0,100,11.28,73.4,8.66
242,Sangar,0,63,63.92,-13.72,3.11
243,La Palma,20,96,5.36,64.67,2.21
244,Usinsk,76,79,66.0,12.02,12.17
245,Dehloran,0,48,32.69,67.19,4.41
246,Minusinsk,0,50,53.7,28.4,13.42
247,Mezhdurechensk,68,70,53.69,17.42,7.02
248,Broome,75,93,52.47,39.2,12.75
249,Piacabucu,0,87,-10.41,76.28,10.45
250,Maumere,68,100,-8.63,81.23,9.66
251,Terrace,5,58,54.52,30.2,17.22
252,Emerald,92,50,-23.53,84.74,17.43
253,Mabaruma,80,84,8.2,78.17,8.66
254,Rocha,0,80,-34.48,47.57,2.62
255,Ravar,44,15,31.27,69.49,3.11
256,Touros,92,81,-5.2,80.96,7.09
257,Lisakovsk,24,83,52.55,9.46,8.37
258,Muncar,20,100,-8.43,80.33,5.23
259,El Cobre,40,64,20.05,71.6,6.93
260,Benjamin Aceval,0,72,-24.97,68.0,5.82
261,Kawalu,88,94,-7.38,74.08,1.5
262,Muros,90,100,42.77,42.8,10.29
263,Santa Rosa,0,40,-36.62,69.17,13.18
264,Sola,40,65,62.78,5.0,6.93
265,Ous,56,52,60.91,13.1,9.82
266,Zhanaozen,68,99,43.35,40.55,13.4
267,North Bend,90,87,43.41,48.2,10.78
268,Mayor Pablo Lagerenza,0,94,-19.93,69.89,3.0
269,Coihaique,0,54,-45.58,56.62,10.29
270,Grand Gaube,75,74,-20.01,82.4,6.93
271,Kijang,90,86,35.24,41.0,16.11
272,Port Moresby,48,100,-9.47,83.08,13.47
273,Nabire,68,86,-3.36,78.17,2.39
274,Houston,1,35,29.76,52.39,8.05
275,Marquette,90,85,46.54,24.82,11.41
276,Pangnirtung,48,63,66.15,-3.19,2.89
277,Mago,0,38,53.27,11.66,6.8
278,Veraval,90,87,49.65,44.01,16.11
279,Mbekenyera,88,93,-10.0,75.88,3.85
280,Lakes Entrance,0,70,-37.88,72.01,8.25
281,Poum,92,100,41.28,34.93,2.21
282,Zambezi,12,83,-13.55,71.6,3.0
283,Newport,90,86,51.59,39.36,11.41
284,Kimbe,92,100,-5.56,81.32,7.87
285,Poddorye,76,85,57.47,16.88,12.68
286,Gisenyi,24,100,-1.69,62.33,3.78
287,Najran,0,27,17.54,62.6,4.7
288,Chara,75,66,39.42,53.6,6.93
289,Villamontes,92,96,-21.26,65.98,2.39
290,Talnakh,48,76,69.49,-0.63,2.89
291,Moses Lake,20,69,47.13,38.34,9.17
292,Svencionys,92,93,55.15,25.16,11.45
293,Datong,0,50,40.09,37.94,7.31
294,Hearst,92,91,49.69,18.68,5.3
295,Airai,80,78,-8.93,77.09,1.83
296,Suntar,0,53,62.16,0.5,3.85
297,Katherine,0,41,-14.47,96.8,11.41
298,Ust-Kuyga,8,31,70.0,-21.64,3.85
299,Tateyama,75,87,36.66,46.4,5.82
300,Kirov,0,75,58.6,-0.18,10.16
301,Nadapuram,0,36,11.7,91.58,3.11
302,Balas,68,74,36.01,55.22,4.07
303,Omaruru,0,83,-21.42,60.17,2.39
304,Kirakira,64,100,-10.46,82.4,14.7
305,Izvestkovyy,56,39,48.98,13.64,3.62
306,Salinopolis,80,100,-0.61,79.52,8.14
307,Stepnogorsk,0,90,52.35,12.43,16.87
308,Barcelos,75,76,41.53,52.97,9.17
309,Sur,0,85,22.57,77.23,4.9
310,Abha,0,27,18.22,66.27,2.51
311,Lauro Muller,24,95,-28.39,58.78,2.77
312,Songjianghe,0,72,42.18,19.09,6.64
313,Chitral,36,89,35.85,15.8,0.6
314,Sao Filipe,0,100,14.9,69.31,14.92
315,Portland,90,57,45.52,47.3,9.17
316,Provideniya,88,100,64.42,25.84,4.9
317,Riyadh,0,16,24.63,75.2,4.63
318,Bismarck,1,77,46.81,-0.41,4.7
319,Tiznit,68,99,29.7,60.26,2.89
320,Lujiang,75,61,31.26,50.0,8.95
321,Seoul,40,71,37.57,45.3,20.8
322,Sao Joao da Barra,92,99,-21.64,79.25,6.24
323,Babushkin,76,81,51.72,20.84,5.01
324,Saint-Francois,0,93,46.42,32.0,3.36
325,Plettenberg Bay,92,100,-34.05,65.39,13.96
326,Lorengau,68,97,-2.02,84.38,8.66
327,Gilgit,20,83,35.92,20.75,0.31
328,Soure,90,93,40.06,48.2,10.29
329,Homer,75,73,59.64,25.66,6.93
330,Mahebourg,75,74,-20.41,82.4,6.93
331,Katobu,48,75,-4.94,88.97,10.83
332,Lagoa,75,100,37.14,59.0,14.99
333,Tashtagol,76,73,52.76,18.01,6.91
334,Conde,32,94,-11.81,79.25,11.61
335,Compostela,0,86,21.24,57.2,1.61
336,Kamaishi,75,80,39.28,39.2,1.12
337,Stephenville,1,45,32.22,43.11,9.1
338,Susangerd,0,52,31.56,69.8,4.7
339,Hofn,0,100,64.25,32.54,25.14
340,Jaguaruna,24,100,-28.62,68.14,6.64
341,Wanning,75,95,48.64,35.6,2.24
342,Coria,44,100,39.98,41.54,2.55
343,Sumbe,12,100,-11.2,74.66,6.08
344,Jatai,0,48,28.97,84.02,4.63
345,Polczyn-Zdroj,80,95,53.76,30.34,9.55
346,Pinar del Rio,64,100,22.42,68.41,4.29
347,Fuyang,0,71,32.89,54.05,13.8
348,Berlevag,90,85,70.86,9.73,12.75
349,Buchanan,75,94,5.88,75.2,3.4
350,Bara,68,50,10.41,72.05,3.85
351,Olga,1,33,34.11,58.21,4.7
352,San Quintin,20,62,17.54,87.8,9.17
353,Lavrentiya,88,96,65.58,25.97,18.1
354,Sawtell,90,60,-30.38,75.2,19.46
355,Coquimbo,0,82,-29.95,59.0,3.22
356,Liku,44,72,-0.73,86.09,8.25
357,Tungor,0,81,53.39,8.83,9.37
358,Terney,80,93,45.05,27.77,6.08
359,Severo-Kurilsk,64,100,50.68,23.23,18.16
360,Oshakati,12,73,-17.78,71.6,3.36
361,Teguldet,56,52,57.31,15.94,11.79
362,Pundaguitan,0,94,6.37,85.19,4.63
363,Lamin,0,82,13.35,66.2,5.82
364,Muroto,75,87,33.37,57.2,5.82
365,Tessalit,0,55,20.2,55.63,3.22
366,Vila Velha,20,100,-3.71,77.0,2.24
367,Alyangula,8,80,-13.85,92.39,15.59
368,Virginia Beach,90,70,36.85,40.64,4.7
369,Waldoboro,90,100,44.1,28.87,20.8
370,Morant Bay,75,78,17.88,78.8,6.93
371,Batemans Bay,0,79,-35.71,68.63,4.56
372,Zittau,92,91,50.9,34.25,9.33
373,Inza,92,84,53.86,16.93,5.79
374,Reconquista,0,81,-29.14,61.84,3.06
375,Synya,76,81,65.37,9.59,7.58
376,Pandan Niog,56,98,6.23,84.34,9.37
377,Talavera,75,55,15.58,89.6,16.11
378,Koslan,88,62,63.46,15.98,11.16
379,Arrifes,75,93,37.77,62.6,17.22
380,Gongzhuling,0,89,43.5,9.91,4.56
381,Port Macquarie,75,60,-31.43,73.4,13.87
382,Khoy,0,71,38.55,46.13,3.62
383,Tura,0,53,25.52,80.51,5.3
384,Kaitangata,44,67,-46.28,61.79,9.37
385,Rafai,8,81,4.95,78.62,2.39
386,Arlit,0,32,18.74,58.28,3.56
387,Rock Sound,12,100,24.9,75.74,14.29
388,Vila,0,92,45.18,30.2,8.05
389,Tabas,20,41,33.6,63.28,3.85
390,Dobryatino,0,84,55.51,9.23,12.39
391,Wewak,68,81,-3.55,81.86,6.42
392,Haines Junction,68,75,60.75,9.05,1.77
393,La Ronge,40,84,55.1,6.8,2.24
394,Vestmannaeyjar,0,100,63.44,28.22,14.81
395,Winnemucca,1,70,40.97,32.0,8.05
396,Petropavlovsk-Kamchatskiy,40,37,53.05,19.4,11.18
397,Carbonia,0,93,39.17,41.0,6.93
398,Dunedin,80,86,-45.87,57.43,3.85
399,Lyangasovo,0,66,58.52,-0.72,8.77
400,Gondanglegi,48,83,-7.75,82.63,5.08
401,Nome,1,70,30.04,45.86,4.7
402,San Policarpo,80,90,12.18,81.95,11.79
403,Sao Gabriel da Cachoeira,92,97,-0.13,73.22,2.28
404,Hasaki,75,100,35.73,47.34,5.82
405,Myurego,90,93,42.41,41.0,6.71
406,Schwechat,0,70,48.14,42.1,14.99
407,Ararat,8,61,-37.28,78.49,3.4
408,Ursulo Galvan,100,100,20.6,61.07,10.6
409,Svetlograd,40,76,45.34,51.8,8.95
410,Oussouye,0,99,12.49,69.35,7.58
411,Oranjemund,80,99,-28.55,62.24,17.49
412,Vao,68,88,59.1,15.98,9.82
413,Mildura,0,36,-34.18,84.83,12.62
414,Zhigansk,0,62,66.77,-13.18,3.51
415,Kuruman,92,100,-27.46,61.03,5.08
416,Magnitka,0,66,55.34,11.71,10.04
417,Port Hardy,75,93,50.7,37.4,5.82
418,Vila Franca do Campo,75,93,37.72,62.6,17.22
419,Acapulco,5,88,16.86,75.2,3.36
420,Sistranda,0,86,63.73,28.4,12.75
421,Noyabrsk,0,80,63.2,6.17,9.89
422,Arani,0,43,13.33,89.6,11.41
423,Cabo San Lucas,20,42,22.89,68.0,4.7
424,Kuytun,88,79,54.34,18.64,3.11
425,Mersing,92,87,2.43,81.91,11.83
426,Eydhafushi,76,100,5.1,81.28,7.65
427,Nortelandia,12,93,-14.45,72.46,3.74
428,Wattegama,20,76,7.35,82.94,3.06
429,Kargasok,56,56,59.06,11.89,7.58
430,Dese,0,93,45.53,34.68,3.36
431,Avera,1,64,33.19,38.14,5.82
432,Ishigaki,75,88,24.34,62.6,16.11
433,Puerto Leguizamo,12,96,-0.19,74.3,2.39
434,Isangel,92,100,-19.55,79.48,19.17
435,Kaseda,75,93,31.42,57.2,10.29
436,Slave Lake,1,92,55.28,5.0,2.24
437,Okha,0,81,53.59,8.83,9.37
438,Naigarhi,92,51,24.78,77.86,4.29
439,Coruripe,36,99,-10.12,80.56,16.64
440,Iberia,100,97,-11.41,73.54,2.55
441,Chongwe,0,90,-15.33,69.76,4.07
442,Svetlaya,80,100,46.54,25.25,0.2
443,Tupik,0,35,54.43,11.66,3.51
444,Kochubey,88,85,44.39,39.65,7.02
445,Orocue,0,71,4.79,79.34,8.37
446,Mana,90,100,43.52,37.29,1.12
447,Henties Bay,64,100,-22.12,63.77,4.23
448,Rabo de Peixe,75,93,37.8,62.6,17.22
449,Saint Anthony,75,73,43.97,21.83,5.82
450,George Town,75,59,5.42,90.41,4.7
451,Carauari,76,98,-4.88,73.04,2.73
452,Huarmey,0,79,-10.07,63.46,3.06
453,Ampanihy,56,75,-24.69,76.01,6.8
454,Padang,24,100,-0.92,82.81,4.41
455,Saint-Joseph,0,69,43.56,42.26,1.12
456,Williams Lake,75,68,52.13,24.8,6.93
457,Faya,0,31,18.39,60.8,3.22
458,Harper,1,52,30.3,47.03,3.36
459,Lac du Bonnet,36,62,50.25,3.92,3.74
460,Dolgoderevenskoye,0,47,55.34,14.0,20.13
461,Port Shepstone,92,100,-30.74,72.05,10.33
462,Kahului,20,68,20.89,65.7,5.82
463,Honningsvag,0,65,70.98,11.59,14.99
464,Tilichiki,76,81,60.47,14.81,14.41
465,Kamenka,92,89,53.19,19.04,13.13
466,Berberati,44,99,4.26,69.26,4.07
467,Tsuruoka,75,81,38.61,43.75,21.92
468,Asuncion,0,72,-25.3,68.0,5.82
469,Namibe,0,100,-15.19,73.63,2.89
470,Cayenne,80,83,4.94,78.8,4.7
471,Dayong,8,93,11.74,82.94,14.14
472,Lata,0,65,30.78,55.94,1.99
473,Bahia Blanca,0,58,-38.72,70.97,16.2
474,Tautira,40,83,-17.73,77.0,3.36
475,Awbari,0,46,26.59,53.29,2.89
476,Kendari,76,83,-3.99,84.2,6.87
477,Necochea,0,76,-38.55,55.94,4.52
478,Muzhi,88,89,65.4,15.58,16.37
479,Kaeo,68,93,-35.1,66.11,13.18
480,Shimoda,75,100,34.7,46.4,18.34
481,Mola di Bari,0,75,41.06,43.7,11.41
482,Sioux Lookout,90,92,50.1,13.23,2.33
483,Luwingu,88,99,-10.26,66.02,3.74
484,Kindu,24,72,-2.95,77.63,2.55
485,Tongliao,0,70,43.61,21.79,5.12
486,Kudamatsu,90,93,34.04,51.39,5.82
487,Jesup,1,60,31.61,43.11,5.41
488,Talara,24,79,-4.58,70.93,2.89
489,Nantucket,90,100,41.28,42.82,8.05
490,Ariquemes,56,98,-9.91,71.74,1.83
491,Ilebo,36,83,-4.33,75.61,3.06
492,Maltahohe,0,84,-24.83,59.18,3.56
493,Rome,0,81,41.89,42.58,6.93
494,Krasnoye,0,76,44.87,53.6,11.18
495,Chicama,20,90,-7.84,66.38,2.21
496,Kantang,20,49,7.42,91.4,13.87
497,Campos Belos,88,97,-13.04,72.46,6.53
498,Agadir,40,93,30.42,60.8,3.36
499,Kunashak,0,47,55.7,14.0,20.13
500,Oriximina,44,92,-1.77,77.14,3.85
501,Turukhansk,56,78,65.8,17.15,14.7
502,Sao Paulo de Olivenca,76,98,-3.38,73.76,2.73
503,Orotukan,56,64,62.26,-9.18,4.79
504,Sao Jose da Coroa Grande,32,100,-8.9,74.21,6.91
505,Nalut,36,73,31.86,54.14,8.1
506,Jaca,0,60,42.57,42.8,5.82
507,Katangli,8,96,51.71,18.41,9.33
508,Belle Fourche,0,67,44.67,25.07,1.99
509,Athabasca,0,54,54.72,2.44,1.1
510,Manoel Urbano,92,98,-8.84,72.19,2.06
511,Pitimbu,20,88,-7.47,77.0,4.7
512,Nuristan,0,52,38.49,66.2,4.7
513,Davila,20,62,18.47,87.8,9.17
514,Maniitsoq,8,75,65.42,0.23,6.53
515,Nelson Bay,75,53,-32.72,75.2,16.11
516,Boyolangu,48,83,-8.09,82.63,5.08
517,Huangchuan,20,35,24.57,55.4,6.71
518,Stanilesti,40,100,46.62,30.2,2.24
519,Harrismith,76,88,-28.27,61.16,9.55
520,Moscow,75,65,46.73,48.2,11.41
521,Nacala,48,100,-14.56,79.34,9.26
522,Hatillo,5,77,18.49,69.8,5.82
523,Jalu,0,37,29.03,63.77,9.78
524,Gjovik,92,91,60.8,22.33,2.55
525,Hambantota,68,93,6.12,84.34,9.33
526,Cabedelo,20,88,-6.97,77.0,4.7
527,Prince Rupert,1,100,54.32,32.0,9.17
528,Margate,20,68,-43.03,66.2,16.11
529,Gumdag,0,95,39.2,55.04,4.9
530,Namatanai,36,100,-3.66,82.63,16.31
531,Pisco,8,89,-13.71,65.44,1.5
532,Saint Lawrence,20,81,36.06,51.8,8.05
533,Podporozhye,12,78,60.91,-0.76,7.09
534,Versailles,90,93,48.8,40.75,18.34
535,Totness,1,60,33.74,36.95,6.93
536,Tumut,0,58,-35.3,72.77,1.05
537,Sisimiut,44,69,66.94,-1.93,2.1
538,Phonhong,75,52,18.5,89.6,4.7
539,Healdsburg,90,100,38.61,52.61,4.7
540,Lasa,20,59,34.92,64.2,5.82
541,Hobyo,0,68,5.35,82.04,17.94
542,Kualakapuas,92,75,-3.01,85.46,4.79
